iter	Logloss
0	0.6795227979
1	0.666451406
2	0.6561065149
3	0.6461567476
4	0.6367195537
5	0.6264984525
6	0.6155480917
7	0.6073087551
8	0.5986060658
9	0.5883301851
10	0.5793978415
11	0.5710566265
12	0.5636921788
13	0.5567052173
14	0.5480935741
15	0.5407814162
16	0.53487393
17	0.5279133262
18	0.5198997817
19	0.5138394047
20	0.5089981568
21	0.5028287498
22	0.4968207162
23	0.4912332347
24	0.4840803756
25	0.4792460872
26	0.474641086
27	0.4704993905
28	0.4655365604
29	0.4599879168
30	0.4555265774
31	0.4497870797
32	0.4437360078
33	0.4386741272
34	0.4343804361
35	0.4306371726
36	0.4274685025
37	0.4234875237
38	0.4198490004
39	0.4160930856
40	0.41303138
41	0.4090010481
42	0.4052087687
43	0.4026145465
44	0.399260476
45	0.3968013355
46	0.3932574833
47	0.3907901029
48	0.3869043432
49	0.3831963899
50	0.3801691206
51	0.3755531732
52	0.3728336764
53	0.3690385773
54	0.3668776457
55	0.3644735885
56	0.36083697
57	0.3579806988
58	0.3559150537
59	0.3521309332
60	0.3508757744
61	0.3484242631
62	0.3469886493
63	0.3457126248
64	0.3423447682
65	0.3403264012
66	0.3384616662
67	0.335761218
68	0.3346195727
69	0.3319108513
70	0.3295527672
71	0.3282371832
72	0.3257428492
73	0.3233422058
74	0.32102216
75	0.3187641054
76	0.316620719
77	0.3147803226
78	0.3128541139
79	0.3103508259
80	0.3088190152
81	0.3070128283
82	0.3058856529
83	0.3039026043
84	0.3016722474
85	0.2995046846
86	0.2986712418
87	0.2967636353
88	0.2941285057
89	0.2923923287
90	0.2910235682
91	0.2891217101
92	0.2881892101
93	0.2863433716
94	0.2851988915
95	0.2839549638
96	0.2831325173
97	0.2819921233
98	0.2811906614
99	0.2806425697
100	0.2792986397
101	0.2787052693
102	0.2774168594
103	0.2760695039
104	0.2753821242
105	0.2744908564
106	0.2737723654
107	0.2722722708
108	0.270787478
109	0.2701335439
110	0.2687188271
111	0.2674451805
112	0.2660352419
113	0.2647459885
114	0.2629011823
115	0.2620655256
116	0.2606038404
117	0.2592298416
118	0.2581828785
119	0.257463118
120	0.2566981107
121	0.2556947579
122	0.2547069605
123	0.2540401852
124	0.2532540651
125	0.2514568037
126	0.2502487555
127	0.2492391698
128	0.2485891226
129	0.2479291041
130	0.2474201704
131	0.2460621969
132	0.2455558077
133	0.245028267
134	0.2444856044
135	0.2432280778
136	0.2427013983
137	0.2415875758
138	0.2410102687
139	0.2395199077
140	0.2388777683
141	0.2378557672
142	0.2369187009
143	0.2361842785
144	0.2354540006
145	0.2348915307
146	0.2336490188
147	0.2328224162
148	0.2321677539
149	0.2315990621
150	0.230410935
151	0.2293848257
152	0.2284675495
153	0.2277168086
154	0.2272800334
155	0.2267751846
156	0.2263111092
157	0.2255596225
158	0.2250338032
159	0.2246226168
160	0.2236051217
161	0.2228055567
162	0.2224156928
163	0.2215023512
164	0.2210092497
165	0.2205776348
166	0.2197295787
167	0.2190923637
168	0.2184222671
169	0.2177535392
170	0.2169581426
171	0.2159085387
172	0.2153486389
173	0.2147337431
174	0.2142421962
175	0.2138036049
176	0.2134690273
177	0.2130459468
178	0.212588388
179	0.2116967998
180	0.2113100288
181	0.2109948002
182	0.2104971291
183	0.2094037422
184	0.2089528817
185	0.2085402561
186	0.2078577168
187	0.2070791765
188	0.2066476374
189	0.2055844181
190	0.2049344921
191	0.2042295138
192	0.2038450055
193	0.2034402761
194	0.2031806256
195	0.2024763891
196	0.2020826609
197	0.2018076916
198	0.2015117445
199	0.2011963739
200	0.200967113
201	0.2004146844
202	0.1997247704
203	0.1994365758
204	0.1991169239
205	0.198756438
206	0.1983424435
207	0.1979178051
208	0.197588057
209	0.1972186621
210	0.19698611
211	0.1965785518
212	0.1962470718
213	0.1956954524
214	0.1951074374
215	0.1947147151
216	0.194329528
217	0.1940890619
218	0.1936968442
219	0.1931042322
220	0.1926110771
221	0.1923602571
222	0.1916003372
223	0.1913983234
224	0.1906248411
225	0.1904315408
226	0.1902353757
227	0.1898268946
228	0.1894984838
229	0.1888185993
230	0.1884678324
231	0.1881220811
232	0.1875324475
233	0.1871965457
234	0.1867724435
235	0.1864981178
236	0.1862662825
237	0.1855239294
238	0.1850778445
239	0.1848031713
240	0.184157659
241	0.1835604805
242	0.1827058848
243	0.1824630046
244	0.1822767129
245	0.1817612346
246	0.1814280941
247	0.1811122092
248	0.1806161665
249	0.180017848
250	0.1796671697
251	0.1794380428
252	0.1787265304
253	0.1784374989
254	0.1778083933
255	0.1774286348
256	0.1769828018
257	0.1767095642
258	0.1763946094
259	0.1760682923
260	0.1754732117
261	0.1751326619
262	0.1747361803
263	0.1745363659
264	0.1739928778
265	0.1734895257
266	0.1731444416
267	0.172804275
268	0.1724255041
269	0.1720469494
270	0.1716623643
271	0.1712585762
272	0.1709705462
273	0.170687366
274	0.1704240994
275	0.1701315496
276	0.1699242684
277	0.1697313209
278	0.1694764429
279	0.1692494908
280	0.1690448239
281	0.168416875
282	0.1679361663
283	0.1674694943
284	0.1672251906
285	0.1669747294
286	0.1666764939
287	0.1664093163
288	0.165793622
289	0.1655568788
290	0.1653219842
291	0.1651146158
292	0.1648665629
293	0.1646198555
294	0.1642140194
295	0.1640106882
296	0.1637584447
297	0.163629501
298	0.1634182953
299	0.1631797091
300	0.1629032333
301	0.1626063714
302	0.1623196909
303	0.1620763343
304	0.161870984
305	0.1616166521
306	0.1613779789
307	0.1611817585
